Date;Price;Open;High;Low;Vol.;Change %
jun-22;1,593.82;1,688.62;1,737.29;1,557.91;14.78M;-5.81%
maj-22;1,692.09;1,777.92;1,791.80;1,575.91;14.58M;-5.28%
apr-22;1,786.45;1,766.99;1,833.21;1,710.34;17.76M;1.80%
mar-22;1,754.80;1,690.36;1,776.55;1,615.84;343.44M;3.81%
feb-22;1,690.38;1,688.49;1,740.90;1,518.31;281.66M;0.86%
jan-22;1,675.91;1,871.41;1,876.95;1,585.84;271.13M;-10.09%
dec-21;1,863.99;1,785.45;1,871.77;1,689.37;238.74M;4.49%
nov-21;1,783.92;1,852.61;1,911.45;1,748.71;308.11M;-3.35%
okt-21;1,845.67;1,710.95;1,860.19;1,670.02;247.43M;6.84%
sep-21;1,727.57;1,813.30;1,837.58;1,718.76;237.15M;-4.00%
aug-21;1,799.64;1,740.00;1,866.27;1,724.47;251.29M;3.73%
jul-21;1,735.00;1,666.21;1,742.40;1,659.77;257.43M;4.88%
jun-21;1,654.35;1,581.59;1,670.35;1,556.92;265.68M;4.88%
maj-21;1,577.40;1,552.99;1,601.87;1,507.32;289.02M;2.25%
apr-21;1,542.63;1,476.76;1,581.52;1,460.65;230.53M;4.81%
mar-21;1,471.77;1,436.83;1,486.34;1,362.94;300.06M;3.54%
feb-21;1,421.46;1,431.32;1,517.76;1,412.07;231.58M;0.14%
jan-21;1,419.46;1,475.58;1,498.60;1,388.83;272.91M;-3.12%
dec-20;1,465.17;1,404.74;1,484.45;1,367.84;243.57M;4.30%
nov-20;1,404.78;1,332.77;1,450.16;1,317.95;345.71M;6.11%
okt-20;1,323.91;1,365.16;1,444.52;1,312.52;258.77M;-2.67%
sep-20;1,360.25;1,322.86;1,371.06;1,277.77;255.24M;2.95%
aug-20;1,321.23;1,280.77;1,337.45;1,279.03;243.02M;2.64%
jul-20;1,287.22;1,247.56;1,349.73;1,241.24;255.71M;3.58%
jun-20;1,242.72;1,244.29;1,280.30;1,194.89;341.85M;0.71%
maj-20;1,233.94;1,151.96;1,247.30;1,142.07;376.25M;5.72%
apr-20;1,167.16;1,059.81;1,186.76;1,046.00;362.23M;8.70%
mar-20;1,073.74;1,148.38;1,204.47;900.29;596.76M;-4.48%
feb-20;1,124.07;1,172.79;1,276.39;1,112.24;306.09M;-4.31%
jan-20;1,174.76;1,135.96;1,199.81;1,107.96;247.34M;3.43%
dec-19;1,135.79;1,108.67;1,148.45;1,101.72;197.46M;2.48%
nov-19;1,108.34;1,050.97;1,117.21;1,049.27;299.57M;5.49%
okt-19;1,050.61;1,035.13;1,062.88;991.18;273.76M;1.54%
sep-19;1,034.66;1,032.28;1,060.63;1,004.12;281.97M;0.25%
aug-19;1,032.13;999.32;1,043.04;974.27;305.76M;3.27%
jul-19;999.45;1,002.57;1,042.40;987.10;235.96M;-0.31%
jun-19;1,002.51;970.80;1,028.56;955.96;282.01M;3.22%
maj-19;971.19;1,016.56;1,019.93;966.31;290.00M;-4.22%
apr-19;1,013.97;1,017.87;1,034.60;999.69;227.58M;-0.32%
mar-19;1,017.19;981.17;1,024.01;979.33;230.86M;3.73%
feb-19;980.63;933.58;986.61;932.58;261.02M;6.23%
jan-19;923.13;891.23;948.56;885.98;270.99M;3.54%
dec-18;891.56;931.32;945.80;878.70;225.53M;-3.95%
nov-18;928.23;902.86;945.14;890.82;324.61M;2.86%
okt-18;902.39;978.94;985.14;860.86;339.35M;-7.81%
