Date;Highprice;Lowprice;Closingprice;Gennemsnitligepris;Totalvolume;Omsætning
30-12-2021;1.871,77;1.851,35;1.863,99;;1;
29-12-2021;1.862,85;1.843,35;1.850,94;;1;
28-12-2021;1.869,12;1.848,71;1.854,54;;1;
27-12-2021;1.854,45;1.825,31;1.849,92;;1;
23-12-2021;1.835,64;1.815,26;1.825,05;;1;
22-12-2021;1.825,68;1.791,13;1.825,68;;1;
21-12-2021;1.792,78;1.759,32;1.784,76;;1;
20-12-2021;1.830,40;1.689,37;1.752,91;;1;
17-12-2021;1.858,41;1.832,17;1.844,49;;1;
16-12-2021;1.869,45;1.842,78;1.861,89;;1;
15-12-2021;1.836,11;1.810,74;1.833,39;;1;
14-12-2021;1.852,17;1.804,61;1.806,19;;1;
13-12-2021;1.860,71;1.836,30;1.849,91;;1;
10-12-2021;1.845,51;1.825,44;1.839,19;;1;
09-12-2021;1.857,87;1.839,41;1.852,62;;1;
08-12-2021;1.856,09;1.824,15;1.839,42;;1;
07-12-2021;1.820,81;1.773,89;1.818,83;;1;
06-12-2021;1.774,83;1.749,45;1.762,32;;1;
03-12-2021;1.785,88;1.751,01;1.753,72;;1;
02-12-2021;1.796,14;1.748,14;1.760,71;;1;
01-12-2021;1.801,15;1.775,72;1.800,63;;1;
30-11-2021;1.805,35;1.781,56;1.783,92;;1;
29-11-2021;1.822,85;1.792,67;1.801,27;;1;
26-11-2021;1.821,25;1.748,71;1.806,59;;1;
25-11-2021;1.835,62;1.816,63;1.823,76;;1;
24-11-2021;1.834,58;1.803,71;1.810,76;;1;
23-11-2021;1.856,41;1.812,80;1.817,26;;1;
22-11-2021;1.906,64;1.872,04;1.873,41;;1;
19-11-2021;1.906,47;1.886,76;1.889,77;;1;
18-11-2021;1.911,20;1.893,14;1.894,86;;1;
17-11-2021;1.911,45;1.888,18;1.900,17;;1;
16-11-2021;1.901,11;1.886,00;1.896,25;;1;
15-11-2021;1.898,45;1.888,57;1.895,70;;1;
12-11-2021;1.900,88;1.885,78;1.897,09;;1;
11-11-2021;1.888,47;1.855,23;1.887,10;;1;
10-11-2021;1.877,60;1.848,67;1.864,08;;1;
09-11-2021;1.886,67;1.864,46;1.878,45;;1;
08-11-2021;1.881,85;1.850,94;1.876,36;;1;
05-11-2021;1.887,99;1.841,28;1.846,16;;1;
04-11-2021;1.898,41;1.874,03;1.884,08;;1;
03-11-2021;1.872,58;1.844,55;1.864,32;;1;
02-11-2021;1.864,20;1.839,29;1.864,05;;1;
01-11-2021;1.858,14;1.841,57;1.851,97;;1;
29-10-2021;1.860,19;1.817,92;1.845,67;;1;
28-10-2021;1.842,72;1.807,57;1.842,72;;1;
27-10-2021;1.842,96;1.816,34;1.826,77;;1;
26-10-2021;1.836,01;1.814,08;1.835,23;;1;
25-10-2021;1.835,07;1.819,25;1.829,45;;1;
22-10-2021;1.828,65;1.802,00;1.824,89;;1;
21-10-2021;1.804,79;1.787,80;1.804,43;;1;
20-10-2021;1.805,97;1.783,90;1.797,15;;1;
19-10-2021;1.788,74;1.763,06;1.788,39;;1;
18-10-2021;1.771,39;1.747,44;1.768,84;;1;
15-10-2021;1.762,60;1.736,73;1.762,55;;1;
14-10-2021;1.756,05;1.735,41;1.737,19;;1;
13-10-2021;1.752,14;1.706,80;1.746,79;;1;
